retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,403
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1013
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1623
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2233
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2843
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,10,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3453
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,268
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,878
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1488
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2098
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2708
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,1,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3318
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,341
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,951
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1561
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2171
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2781
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,2,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3391
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,414
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1024
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1634
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2244
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2854
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,3,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3464
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,488
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1098
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1708
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2318
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2928
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,4,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3538
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,561
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1171
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1781
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2391
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3001
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,5,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3611
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,634
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1244
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1854
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2464
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3074
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,6,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3684
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",medium,express,7,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,707
